run_id,dataset,model,method,fold,mape,rmse,mae,best_val,duration_sec,n_evals,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,param_feature_fraction,param_bagging_fraction,param_bagging_freq,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2
20260415_112704,payten,XGBoost,HDMR-200,1,11.7592,1.2578,1.0776,1.139539903670625,276.79,201,0.08374220857451994,4.0,4.9999999999999964,0.9588471216873753,0.6,0.6,0.34133844539772035,0.40949346461268415,depthwise,8.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,HDMR-200,2,20.1657,3.1344,2.8979,1.0973973551350213,180.84,201,0.005000000000000002,4.0,3.149853728404443,0.9821102799520602,0.6,0.8969297867207183,0.0001,5.0,depthwise,8.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,HDMR-200,3,12.2624,2.1074,2.0109,0.8495088223250573,267.85,201,0.005000000000000002,4.0,4.9999999999999964,1.0,0.6408498244698427,0.6,0.0001,3.0680403680602413,depthwise,9.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,A-HDMR-200,1,11.7585,1.2087,1.0632,1.1722254776277903,412.3,302,0.0078126882644317,4.0,4.9999999999999964,0.6,0.6,0.6,0.0001,5.0,depthwise,8.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,A-HDMR-200,2,18.3472,2.8259,2.6271,1.085779515379427,255.1,302,0.10000000000000002,4.0,0.8604570710643961,0.9925176852892195,0.6,1.0,0.1327322417173678,1.1778281991361443,depthwise,8.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,A-HDMR-200,3,8.8053,1.5557,1.4424,0.783251868259663,329.29,302,0.10000000000000002,4.0,3.812237187905564,0.6409419790866456,0.6297818982270699,0.6,0.0001,0.31265818735305084,depthwise,9.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,A-HDMR-600,1,11.3092,1.2613,1.0261,1.1268083524517838,649.52,1003,0.10000000000000002,4.0,4.9999999999999964,0.9944119732774812,0.653034954148701,0.6044295951892366,0.0001,1.1881583030065836,depthwise,15.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,A-HDMR-600,2,18.8219,2.9677,2.7151,1.052810796547026,1048.77,1003,0.005187180755975361,4.0,4.455141178409524,0.8408263774225078,0.6,1.0,0.014137972809101604,0.0001,depthwise,9.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,A-HDMR-600,3,8.0395,1.5013,1.3243,0.7418209998998024,569.21,602,0.10000000000000002,4.0,3.5086373951156156,0.6,0.661221451127864,0.6,0.0001,0.0001,depthwise,9.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,RS-200,1,13.3758,1.3829,1.2288,1.0787326352048792,239.9,200,0.04065772083598535,7.0,0.17284411644667885,0.6781595956534148,0.8887432910501957,0.9432647045701742,0.01660443353028968,0.6093228431044146,depthwise,38.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,RS-200,2,20.5871,3.2356,2.9718,1.0701198273672154,177.78,200,0.07247930967066848,6.0,4.481594983793522,0.8990631360560655,0.8660705730319023,0.8838616989552974,0.1043229093474336,2.528691875747685,lossguide,8.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,RS-200,3,17.1805,2.8512,2.7918,0.7675402969422936,308.56,200,0.03903397569116181,7.0,0.0014140246392681226,0.8339062802493572,0.7894082739949226,0.8082036532461643,0.04065678754318506,0.2536351554538123,depthwise,726.0,,,,,,,,,,,,
20260415_112704,payten,XGBoost,Optuna-200,1,12.537,1.3015,1.1255,1.0055450552765792,120.13,200,0.02794742901702239,9.0,0.865641665600567,0.9992773843581579,0.9725102977171066,0.9132557170138277,0.034273239107560485,0.0024532637142713476,depthwise,23.0,,,,,,,,,,,,
