nohup: ignoring input
/mnt/disk1/erdemy/app2scale/hdmr-opt/hdmr-env/lib/python3.10/site-packages/xgboost/core.py:377: FutureWarning: Your system has an old version of glibc (< 2.28). We will stop supporting Linux distros with glibc older than 2.28 after **May 31, 2025**. Please upgrade to a recent Linux distro (with glibc >= 2.28) to use future versions of XGBoost.
Note: You have installed the 'manylinux2014' variant of XGBoost. Certain features such as GPU algorithms or federated learning are not available. To use these features, please upgrade to a recent Linux distro with glibc 2.28+, and install the 'manylinux_2_28' variant.
  warnings.warn(
2026-04-17 07:10:38,350 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][HDMR-200] fold 2/3  (train=1846  test=30)
2026-04-17 07:20:46,440 | INFO     | hdmr.forecast |   └─ MAPE=21.06%  RMSE=1.2537  MAE=1.1830  best_val=1.1975  evals=201  608.1s  ETA: 4:40:28
2026-04-17 07:20:46,445 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][HDMR-200] fold 3/3  (train=2210  test=30)
2026-04-17 07:33:29,672 | INFO     | hdmr.forecast |   └─ MAPE=8.12%  RMSE=0.5300  MAE=0.4402  best_val=0.5461  evals=201  763.2s  ETA: 4:54:47
2026-04-17 07:33:29,676 | INFO     | hdmr.forecast |   [medianova][GRU][HDMR-200]  MAPE=19.97±9.26  RMSE=1.0278  MAE=0.9461
2026-04-17 07:33:29,677 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][A-HDMR-200] fold 1/3  (train=1483  test=30)
2026-04-17 07:49:24,245 | INFO     | hdmr.forecast |   └─ MAPE=32.13%  RMSE=1.3361  MAE=1.2634  best_val=1.3952  evals=402  954.6s  ETA: 5:35:57
2026-04-17 07:49:24,250 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][A-HDMR-200] fold 2/3  (train=1846  test=30)
2026-04-17 08:01:56,253 | INFO     | hdmr.forecast |   └─ MAPE=24.59%  RMSE=1.4623  MAE=1.3778  best_val=1.1799  evals=402  752.0s  ETA: 5:43:01
2026-04-17 08:01:56,257 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][A-HDMR-200] fold 3/3  (train=2210  test=30)
2026-04-17 08:19:06,196 | INFO     | hdmr.forecast |   └─ MAPE=9.21%  RMSE=0.6179  MAE=0.4952  best_val=0.4685  evals=302  1029.9s  ETA: 6:04:52
2026-04-17 08:19:06,200 | INFO     | hdmr.forecast |   [medianova][GRU][A-HDMR-200]  MAPE=21.98±9.54  RMSE=1.1388  MAE=1.0455
2026-04-17 08:19:06,201 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][A-HDMR-600] fold 1/3  (train=1483  test=30)
2026-04-17 09:04:42,940 | INFO     | hdmr.forecast |   └─ MAPE=29.48%  RMSE=1.3000  MAE=1.1769  best_val=1.4633  evals=1003  2736.7s  ETA: 9:37:23
2026-04-17 09:04:42,944 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][A-HDMR-600] fold 2/3  (train=1846  test=30)
2026-04-17 09:26:37,672 | INFO     | hdmr.forecast |   └─ MAPE=16.32%  RMSE=1.0275  MAE=0.9208  best_val=1.1053  evals=602  1314.7s  ETA: 10:21:03
2026-04-17 09:26:37,676 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][A-HDMR-600] fold 3/3  (train=2210  test=30)
2026-04-17 09:59:03,908 | INFO     | hdmr.forecast |   └─ MAPE=8.02%  RMSE=0.5392  MAE=0.4336  best_val=0.5047  evals=602  1946.2s  ETA: 11:39:43
2026-04-17 09:59:03,912 | INFO     | hdmr.forecast |   [medianova][GRU][A-HDMR-600]  MAPE=17.94±8.84  RMSE=0.9556  MAE=0.8438
2026-04-17 09:59:03,913 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][RS-200] fold 1/3  (train=1483  test=30)
