2026-04-17 01:39:50,082 | INFO     | hdmr.forecast |   └─ MAPE=5.47%  RMSE=0.4357  MAE=0.3084  best_val=0.4385  evals=302  2965.3s  ETA: 4:37:15
2026-04-17 01:39:50,085 | INFO     | hdmr.forecast |   [medianova][ARIMA][A-HDMR-200]  MAPE=7.15±3.25  RMSE=0.4388  MAE=0.3381
2026-04-17 01:39:50,086 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][A-HDMR-600] fold 1/3  (train=1483  test=30)
2026-04-17 03:06:09,504 | INFO     | hdmr.forecast |   └─ MAPE=9.80%  RMSE=0.5011  MAE=0.3978  best_val=0.2350  evals=1003  5179.4s  ETA: 7:08:11
2026-04-17 03:06:09,508 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][A-HDMR-600] fold 2/3  (train=1846  test=30)
2026-04-17 04:34:01,795 | INFO     | hdmr.forecast |   └─ MAPE=4.29%  RMSE=0.3108  MAE=0.2383  best_val=0.3337  evals=1003  5272.3s  ETA: 8:41:46
2026-04-17 04:34:01,799 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][A-HDMR-600] fold 3/3  (train=2210  test=30)
2026-04-17 06:39:08,433 | INFO     | hdmr.forecast |   └─ MAPE=5.88%  RMSE=0.4527  MAE=0.3306  best_val=0.4360  evals=1203  7506.6s  ETA: 9:58:36
2026-04-17 06:39:08,436 | INFO     | hdmr.forecast |   [medianova][ARIMA][A-HDMR-600]  MAPE=6.66±2.32  RMSE=0.4215  MAE=0.3222
2026-04-17 06:39:08,438 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][RS-200] fold 1/3  (train=1483  test=30)
2026-04-17 06:56:47,799 | INFO     | hdmr.forecast |   └─ MAPE=10.25%  RMSE=0.5195  MAE=0.4153  best_val=0.2294  evals=200  1059.4s  ETA: 6:24:23
2026-04-17 06:56:47,804 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][RS-200] fold 2/3  (train=1846  test=30)
2026-04-17 07:18:34,988 | INFO     | hdmr.forecast |   └─ MAPE=42.79%  RMSE=2.7389  MAE=2.3781  best_val=0.2939  evals=200  1307.2s  ETA: 3:39:24
2026-04-17 07:18:34,992 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][RS-200] fold 3/3  (train=2210  test=30)
2026-04-17 07:43:05,525 | INFO     | hdmr.forecast |   └─ MAPE=5.87%  RMSE=0.4481  MAE=0.3282  best_val=0.4230  evals=200  1470.5s  ETA: 1:03:57
2026-04-17 07:43:05,529 | INFO     | hdmr.forecast |   [medianova][ARIMA][RS-200]  MAPE=19.64±16.47  RMSE=1.2355  MAE=1.0405
2026-04-17 07:43:05,530 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][Optuna-200] fold 1/3  (train=1483  test=30)
2026-04-17 07:57:32,899 | INFO     | hdmr.forecast |   └─ MAPE=9.58%  RMSE=0.4885  MAE=0.3881  best_val=0.2340  evals=200  867.4s  ETA: 0:40:30
2026-04-17 07:57:32,903 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][Optuna-200] fold 2/3  (train=1846  test=30)
2026-04-17 08:23:35,458 | INFO     | hdmr.forecast |   └─ MAPE=25.64%  RMSE=1.6552  MAE=1.4342  best_val=0.3051  evals=200  1562.6s  ETA: 0:21:40
2026-04-17 08:23:35,462 | INFO     | hdmr.forecast |   ┌─ [medianova][ARIMA][Optuna-200] fold 3/3  (train=2210  test=30)
2026-04-17 08:56:14,490 | INFO     | hdmr.forecast |   └─ MAPE=5.44%  RMSE=0.4436  MAE=0.3090  best_val=0.4232  evals=200  1959.0s  ETA: done
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast |   [medianova][ARIMA][Optuna-200]  MAPE=13.55±8.71  RMSE=0.8624  MAE=0.7104
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | 
==========================================================================
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | FORECASTING HPO RESULTS SUMMARY — Medianova (CDN Traffic)
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | ==========================================================================
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | Model        Metric        HDMR-200    A-HDMR-200    A-HDMR-600        RS-200    Optuna-200
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | -------------------------------------------------------------------------------------------
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | XGBoost      mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | XGBoost      rmse               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | LightGBM     mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | LightGBM     rmse               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,494 | INFO     | hdmr.forecast | N-BEATS      mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,495 | INFO     | hdmr.forecast | N-BEATS      rmse               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,495 | INFO     | hdmr.forecast | LSTM         mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,495 | INFO     | hdmr.forecast | LSTM         rmse               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,495 | INFO     | hdmr.forecast | ARIMA        mape         8.85±5.61     7.15±3.25     6.66±2.32    19.64±16.47    13.55±8.71
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | ARIMA        rmse         0.52±0.21     0.44±0.11     0.42±0.08     1.24±1.06     0.86±0.56
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | GRU          mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | GRU          rmse               N/A           N/A           N/A           N/A           N/A
