date,transactions
2016-09-12,2.2795298940000004
2016-09-13,2.3531824880000003
2016-09-14,4.395929255
2016-09-15,2.975080416
2016-09-16,4.699849103
2016-09-17,3.2270562440000004
2016-09-18,3.759898008
2016-09-19,4.689639378000001
2016-09-20,5.194912908
2016-09-21,4.555065975
2016-09-22,5.6472300980000005
2016-09-23,4.437096306
2016-09-24,3.264604328
2016-09-25,2.982702501
2016-09-26,5.315887415999999
2016-09-27,4.567886711
2016-09-28,4.265059119
2016-09-29,4.050875168999999
2016-09-30,5.1610211580000005
2016-10-01,3.516336499
2016-10-02,2.78895213
2016-10-03,4.488632466
2016-10-04,4.736206557000001
2016-10-05,4.525894639
2016-10-06,4.702122621
2016-10-07,4.325792408
2016-10-08,3.097639295
2016-10-09,2.8131123600000003
2016-10-10,4.85763573
2016-10-11,4.8036807360000005
2016-10-12,4.252097763
2016-10-13,4.599279962
2016-10-14,4.606100507000001
2016-10-15,5.643250193999999
2016-10-16,2.894026091
2016-10-17,4.723071732
2016-10-18,4.630082597
2016-10-19,5.831642635
2016-10-20,4.965062907
2016-10-21,4.475342906
2016-10-22,3.242469306
2016-10-23,3.941113581
2016-10-24,4.876217578
2016-10-25,4.863907821
2016-10-26,4.422048865999999
2016-10-27,5.436866581
2016-10-28,4.30540112
2016-10-29,3.5552815739999994
2016-10-30,3.121724517
2016-10-31,5.95508748
2016-11-01,4.922695826
2016-11-02,4.410676642
2016-11-03,4.341139899
2016-11-04,4.462929986
2016-11-05,3.821826719
2016-11-06,3.197083321
2016-11-07,4.899773128
2016-11-08,4.794146083
2016-11-09,4.532827689
2016-11-10,4.706861759000001
2016-11-11,4.842869596
2016-11-12,3.574365056
2016-11-13,3.161424257
2016-11-14,7.092229730000001
2016-11-15,5.359102955
2016-11-16,5.157031957
2016-11-17,4.827161248
2016-11-18,5.889769696
2016-11-19,3.748066359
2016-11-20,3.231523699
2016-11-21,5.102087885
2016-11-22,5.597423635
2016-11-23,4.570900923
2016-11-24,4.452064013999999
2016-11-25,5.468086364
2016-11-26,4.379709845
2016-11-27,3.376311371
2016-11-28,5.187220507999999
2016-11-29,5.313866956
2016-11-30,6.491534120000001
2016-12-01,4.979932122000001
2016-12-02,4.644089286
2016-12-03,3.600330006
2016-12-04,3.6021019460000003
2016-12-05,5.28731146
2016-12-06,4.797150848999999
2016-12-07,4.827029977
2016-12-08,4.781826874
2016-12-09,4.7842878970000005
2016-12-10,3.967336423
2016-12-11,3.5199975610000003
2016-12-12,5.041602991
2016-12-13,6.060044211999999
2016-12-14,5.271364050000001
2016-12-15,5.40880159
2016-12-16,4.807266848
2016-12-17,3.620060378
2016-12-18,3.413761144
2016-12-19,5.013336381
2016-12-20,5.063569356
2016-12-21,5.184018824999999
2016-12-22,4.771321847
2016-12-23,4.693858274
2016-12-24,3.407568748
2016-12-25,3.478807002
2016-12-26,5.070286838
2016-12-27,4.947038803
2016-12-28,4.931480418000001
2016-12-29,4.7916100230000005
2016-12-30,4.859220120999999
2016-12-31,3.550397052
2017-01-01,2.083529416
2017-01-02,5.055070604
2017-01-03,4.484141665
2017-01-04,4.983330636
2017-01-05,4.663336847
2017-01-06,4.569649328000001
2017-01-07,3.463248742
2017-01-08,3.3313989360000003
2017-01-09,4.845011859
2017-01-10,4.900199696
2017-01-11,4.716659010000001
2017-01-12,4.713340146
2017-01-13,5.028261943
2017-01-14,4.0504251810000005
2017-01-15,3.87907245
2017-01-16,5.7299813440000005
2017-01-17,5.264121578999999
2017-01-18,5.545404694
2017-01-19,4.770295188
2017-01-20,4.990151224
2017-01-21,3.5508283089999995
2017-01-22,3.499629768
2017-01-23,5.039840392
