run_id,dataset,task,method,total_evals,fold,seed,best_val,n_trials,duration_sec,rmse,mae,r2,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260309_002910,qsar-biodeg,classification,Optuna-200,200,3,42,0.23068423815335423,200,188.57,,,,0.07343634735128267,10,0.004113048984160581,0.6128165731013507,0.8353814744082626,0.9663576464911215,1.44062940309864,3.811738239693678,depthwise,42,0.25140835596628736,0.25140835596628736,0.24398324368486285,0.23178533271703333,0.23178533271703333,0.23068423815335423,0.9200510855683269,0.8181818181818182,0.3473690494225172
20260309_002910,qsar-biodeg,classification,Optuna-200,200,4,42,0.2854438526341404,200,113.63,,,,0.0837580366749085,5,0.00539330777049991,0.936848245911287,0.6779714455204275,0.9571675553633964,2.1392496154613956,0.3170978835895657,depthwise,52,0.29124023295651885,0.29124023295651885,0.2854438526341404,0.2854438526341404,0.2854438526341404,0.2854438526341404,0.9173553719008265,0.8560606060606061,0.3539115715150767
20260309_002910,qsar-biodeg,classification,Optuna-200,200,5,42,0.22309344275595538,200,421.58,,,,0.019687116985489004,10,0.002851136322383649,0.8580747032908722,0.9654915820941022,0.9511235382435319,0.42828789316887683,2.2078783428889315,depthwise,68,0.2437538013533254,0.22727353216100052,0.22727353216100052,0.22653281445543744,0.22492340864700228,0.22309344275595538,0.9294938016528926,0.8712121212121212,0.2931050533313963
20260309_002910,qsar-biodeg,classification,Optuna-200,200,6,42,0.2591403720088648,200,220.95,,,,0.044952897566221034,8,0.02385347123066162,0.6788215708044036,0.9374730662553948,0.9444368735406674,1.0170427660113068,3.6204404345449204,lossguide,147,0.27224638645032945,0.26732365287323523,0.2660551939320607,0.2642753873978657,0.2612672214912486,0.2591403720088648,0.9269111570247934,0.8636363636363636,0.3262600251850285
20260309_002910,qsar-biodeg,classification,Optuna-200,200,7,42,0.27431112185283146,200,126.86,,,,0.018628162112395288,7,0.8970085000805601,0.8757865982738723,0.748314394624531,0.6338321022613342,0.10420818010868019,0.010437167265744965,depthwise,10,0.2895874153659981,0.2895874153659981,0.2871315958027302,0.2803353609960637,0.2803353609960637,0.27431112185283146,0.9480146290491118,0.9007633587786259,0.2771979089553699
20260309_002910,qsar-biodeg,classification,Optuna-200,200,8,42,0.3082155672835538,200,133.94,,,,0.07849267178364913,8,0.002465402811949309,0.9985634229360948,0.9906453164945046,0.9636325213428718,2.712550948401557,0.32709511258918245,depthwise,10,0.32078582747475876,0.3109271919794937,0.3109271919794937,0.3107523025717231,0.3107523025717231,0.3082155672835538,0.9158829676071055,0.8625954198473282,0.33179694853083275
20260309_002910,Fitness_Club,classification,Optuna-200,200,1,42,0.49036210031319716,200,27.83,,,,0.07308468200357533,4,0.001095647794227131,0.7436211194333087,0.8199348166152698,0.7072973903872047,3.7804916358337826,2.1955203911536794,lossguide,106,0.49688245541933884,0.4941136346135611,0.49067085080615513,0.49067085080615513,0.49036210031319716,0.49036210031319716,0.857104593544931,0.7659574468085106,0.42907952500997454
20260309_002910,Fitness_Club,classification,Optuna-200,200,2,42,0.4497435751981686,200,38.8,,,,0.0973211317270473,6,2.1728925102071552,0.6479223070883267,0.6069317251273911,0.6223432178844662,3.485865406451065,4.432594455149362,depthwise,394,0.4618763714038115,0.4569422143183535,0.4552907912437077,0.4504730434360783,0.4497435751981686,0.4497435751981686,0.7989152269987948,0.7978723404255319,0.4786365543664862
20260309_002910,Fitness_Club,classification,Optuna-200,200,3,42,0.47097256186250264,200,26.86,,,,0.09104905787739682,4,0.9192949452266294,0.6323423848287096,0.6951945105234412,0.6059221469249835,4.579705594344811,3.4585210040816636,depthwise,66,0.478816029842191,0.47787708724496186,0.47613929561877794,0.47613929561877794,0.47492361171055575,0.47097256186250264,0.7269318334002944,0.675531914893617,0.5732550765593735
20260309_002910,Fitness_Club,classification,Optuna-200,200,4,42,0.4726565130396577,200,32.37,,,,0.04801589861482913,6,0.15190410028551074,0.619426480918241,0.654213801015467,0.620282880321287,4.134787927916517,1.0016772870159032,depthwise,593,0.4751235666445885,0.4737908388260413,0.4737908388260413,0.4737908388260413,0.4729125171203577,0.4726565130396577,0.8741127628230881,0.8191489361702128,0.4169703236023898
20260309_002910,Fitness_Club,classification,Optuna-200,200,5,42,0.4648269318160419,200,24.84,,,,0.08043445126994918,4,0.05320498116057114,0.8087347785714804,0.8223632040526209,0.8097989818222454,0.1665021523055997,0.6925139830755465,lossguide,9,0.4737506708235451,0.4723427446488823,0.46849989629274613,0.4683136736570884,0.46704446231142505,0.4648269318160419,0.7790148448043185,0.732620320855615,0.5204961200789646
