run_id,dataset,task,method,total_evals,fold,seed,best_val,n_trials,duration_sec,rmse,mae,r2,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200
20260307_180429,miami_housing,regression,Optuna-200,200,1,42,0.247083407822911,200,945.23,82877.21895608435,40841.89617813589,0.9379550662923908,0.021750552144460495,6,0.0033331952428495514,0.7856217521984769,0.6231858137791288,0.6245874438454652,0.8987262970471466,0.6060010234515557,lossguide,12,0.2579529475959639,0.25142585753328817,0.24891416302187164,0.24891416302187164,0.24891416302187164,0.247083407822911
20260307_180429,miami_housing,regression,Optuna-200,200,2,42,0.25580895066189285,200,1266.46,83410.05471385593,39557.45808834204,0.9338432156218575,0.023708435804613973,7,0.0029456885980243368,0.8575876770098358,0.64982298855212,0.7362971927287348,1.0695487003061594,0.6111235481397163,depthwise,45,0.26414050910390224,0.2577263051679085,0.2569503755013433,0.25649766016215547,0.25580895066189285,0.25580895066189285
20260307_180429,miami_housing,regression,Optuna-200,200,3,42,0.24627990636241825,200,1172.75,75968.76954708129,40814.78090519745,0.9373623646894227,0.028306080765268794,4,0.008251202871649425,0.9725710721374916,0.7081241009801604,0.6825762427091457,0.8480156761168178,0.7729738859033796,lossguide,8,0.2569268758846698,0.25280782773892707,0.25280782773892707,0.25199518367759294,0.24958090997115798,0.24627990636241825
20260307_180429,miami_housing,regression,Optuna-200,200,4,42,0.25808809141577055,200,1059.84,77373.74703937507,40516.46464866435,0.9356816626794957,0.01602181464994195,6,0.001856548585402858,0.6739002509081291,0.8307671764749497,0.8808663216488545,0.0016514331453457362,2.4755123444474885,depthwise,136,0.2661241167466013,0.2630849376493119,0.26295494254185625,0.2607132192760849,0.2607132192760849,0.25808809141577055
20260307_180429,miami_housing,regression,Optuna-200,200,5,42,0.2754907830628763,200,1287.73,77055.72615437834,41566.96595755299,0.9353568864019162,0.011321991829003415,4,0.8301006312424946,0.8616595138265484,0.6077409670506082,0.6924678352981612,0.25270365410562984,0.004908059139526633,lossguide,57,0.28809440945670883,0.2790399988631457,0.2782804881818656,0.2776324506123325,0.2754907830628763,0.2754907830628763
20260307_180429,miami_housing,regression,Optuna-200,200,6,42,0.25013600838669847,200,607.37,87648.7430289022,41303.72621769745,0.9208649171297815,0.07253099630766324,7,0.05757954840211378,0.9218187239865149,0.6302589770819242,0.998344463862968,1.8464684187140266,3.4285067101507356,depthwise,21,0.2562723871689107,0.25374398547100174,0.25374398547100174,0.25013600838669847,0.25013600838669847,0.25013600838669847
20260307_180429,miami_housing,regression,Optuna-200,200,7,42,0.2462335470467174,200,531.06,81156.39990116251,43540.21578742015,0.9320304392108197,0.04524833759021326,4,0.025095520820150565,0.9651729978830945,0.6160175300736459,0.7103375604389492,0.5606408988565411,0.4947649818890472,lossguide,211,0.2604664058921051,0.2501317231555357,0.24984630457945237,0.24910464987689204,0.24838293057929334,0.2462335470467174
20260307_180429,miami_housing,regression,Optuna-200,200,8,42,0.24502879156573526,200,768.18,86970.76655746528,43706.05138692291,0.9375397460212408,0.04865126408153544,10,1.4900233073110576,0.7500306109170345,0.9892262168572732,0.904408267120663,0.20518036782263382,0.17972503813552648,lossguide,8,0.2616913095823379,0.2545405608195217,0.2545405608195217,0.25114666533933,0.24502879156573526,0.24502879156573526
20260307_180429,houses,regression,Optuna-200,200,1,42,0.37439057632268824,200,2135.77,0.20388861097605365,0.14267283723608704,0.8672446039815664,0.022558482765617113,9,0.003602833880525818,0.98530749538933,0.9115498873212893,0.8481931857553613,3.9759577257846637,0.3231521383592165,lossguide,746,0.3782430648882288,0.37619374509189374,0.37522795799199793,0.37502818746208355,0.37473630391815277,0.37439057632268824
20260307_180429,houses,regression,Optuna-200,200,2,42,0.38824292629118684,200,3457.69,0.21542410157618733,0.14573777606754507,0.8621432246822303,0.00700230701329267,10,0.004024188228247219,0.9866853337987563,0.9584717009339467,0.7247556868450964,0.5155908830347059,0.5501005854214545,lossguide,170,0.3929898893783143,0.3913742343339535,0.38982320854931385,0.38939106026870013,0.38828697993540573,0.38824292629118684
20260307_180429,houses,regression,Optuna-200,200,3,42,0.36678908593354104,200,3175.51,0.21638781085143752,0.14593091622439458,0.8597623163023722,0.01019210401124737,10,0.003434048987083131,0.9648414667723737,0.9849769665455225,0.9505344830250878,1.6929062377350417,2.7687620291636366,lossguide,112,0.3716301303949174,0.3689513907195205,0.3689513907195205,0.36883678539470927,0.3670435858330579,0.36678908593354104
20260307_180429,houses,regression,Optuna-200,200,4,42,0.38516325311102134,200,2521.61,0.21325738581396755,0.14466631858818238,0.8542905046848763,0.014663591145840081,6,2.713560612152315,0.9735385652514121,0.89011670772167,0.9941906895668814,3.9615070870323463,1.8868805342954627,lossguide,142,0.3932537865936251,0.3881374521213439,0.3857002162392904,0.3857002162392904,0.38516325311102134,0.38516325311102134
20260307_180429,houses,regression,Optuna-200,200,5,42,0.3963679309643208,200,3126.07,0.2214418212002178,0.15076833522433938,0.8498725595777027,0.008238578153788246,9,0.21638062998847976,0.903072249643741,0.6502981748384296,0.8407876900541844,0.18137947244116853,1.4277397165221166,lossguide,102,0.401562698395536,0.39812728219530663,0.39692952767518225,0.39692952767518225,0.39692952767518225,0.3963679309643208
20260307_180429,houses,regression,Optuna-200,200,6,42,0.35656812848161196,200,2588.67,0.2155515513165686,0.146040200094471,0.8588625440960161,0.0055195327491643275,9,0.16119526029726625,0.9783016372013194,0.8479234988053795,0.9321389111483263,0.09179690867838432,0.001446735326122852,depthwise,131,0.361750763805388,0.35988740473769293,0.3591343325016149,0.35882508585863465,0.35719763073677696,0.35656812848161196
20260307_180429,houses,regression,Optuna-200,200,7,42,0.38717990007957287,200,3424.44,0.22127016024592305,0.14723806174284768,0.8502104728470383,0.008133495027421283,10,0.0012895456009741292,0.9869170873915286,0.885590227497757,0.8561718895179908,1.84872999280814,1.4450889021689144,lossguide,107,0.3910055650554065,0.38894356799450813,0.38894356799450813,0.3876597605751577,0.38717990007957287,0.38717990007957287
20260307_180429,houses,regression,Optuna-200,200,8,42,0.3725585312213479,200,2725.01,0.2049958464383507,0.14203598674691478,0.8647256774112573,0.011810801028237736,10,0.37294403264851844,0.9334480781180204,0.9697396759414392,0.9779549793625977,0.8187893636636194,0.1355510651888325,lossguide,57,0.375082219386805,0.37496800881028725,0.37431416901657316,0.37311634210883093,0.37311634210883093,0.3725585312213479
