run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_feature_fraction,sens_bagging_fraction,sens_num_leaves,sens_min_data_in_leaf,sens_extra_trees,sens_min_data_per_group,sens_cat_l2,sens_cat_smooth,sens_max_cat_to_onehot,sens_lambda_l1,sens_lambda_l2,param_learning_rate,param_feature_fraction,param_bagging_fraction,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2,param_bagging_freq,param_feature_pre_filter,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-200,True,200,3,42,0.4626393839806461,302,46.95,0.8355378075535255,0.6215173913620596,0.6734290556475673,2.96693739470872e-05,0.00012753229672841901,3.042117933518259e-06,0.2522159073682747,0.7185898035507681,0.028774715064092394,8.336457137468802e-05,3.0045563348617017e-05,1.7773799507739714e-05,3.0225486856948327e-06,0.00012157300597329503,3.5507393656808287e-06,0.032054831434388975,1.0,0.845033507722207,28,2,False,100,0.05867359897365379,100.00000000000004,8,0.0001,1.3461384101305485,1,False,0.5046211415431118,0.4751507316148702,0.4751507316148702,0.4751507316148702,0.4626393839806461,0.4626393839806461,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-200,True,200,4,42,0.5537837125320108,302,59.86,0.9743920146525809,0.6670701720268561,0.5968992164587781,0.0001538117940395985,0.000466375620945151,0.0004147160023587372,0.19815611058417812,0.6893124784636421,0.10821643138117158,0.0018932379956364174,9.118243986472931e-05,0.0008716862019996393,4.0503854293110437e-05,0.00022467321859497483,0.00015879244327582153,0.10000000000000002,1.0,0.7,58,1,False,100,2.0,100.00000000000004,23,1.0,0.7729025243670153,1,False,0.5537837125320108,0.5537837125320108,0.5537837125320108,0.5537837125320108,0.5537837125320108,0.5537837125320108,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-200,True,200,5,42,0.55535708656628,302,76.27,0.7741912922706818,0.5800156573003573,0.5937989908524486,7.824673927704745e-05,1.4541425821049832e-06,0.041935090200971956,0.009700178662277053,0.00010115121500842527,0.9478309543907321,3.7434089954996794e-07,1.026462953200278e-05,6.431126688876583e-06,0.00018046517825084249,0.00013299763672312327,2.2391737057079008e-05,0.07390217926646363,0.7589627201025755,0.7,81,1,True,100,0.6555181823853953,7.5362730387948496,12,0.0001,2.0,1,False,0.5695780589078984,0.5675070404329551,0.5595558090598597,0.5595558090598597,0.5595558090598597,0.5595558090598597,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-200,True,200,6,42,0.5861040704668876,302,48.05,0.8397030221987513,0.5985481999112438,0.6105172514232082,7.552060735078153e-06,6.754299814055805e-05,0.00015333761440170814,0.6607329355381045,0.1336903020449077,0.20295257778960882,6.129015810165074e-05,0.002010879963241597,5.9781897603008206e-05,0.0002501694268152442,5.485329774558169e-06,8.145178565455209e-06,0.04223577995209601,0.8807600184205513,0.9425162752126272,7,1,True,2,0.005000000000000002,100.00000000000004,8,0.7306454800275969,0.0001,1,False,0.6013389996045968,0.5938686898598583,0.5938686898598583,0.5898975380906684,0.5898975380906684,0.5898975380906684,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-200,True,200,7,42,0.6399732697817418,302,50.76,0.924155588344689,0.6693176899551949,0.5770713613958844,1.10166229285794e-06,1.0912524802803806e-05,1.601527650502165e-05,0.08233421404901554,5.337393414290726e-06,0.9107738054543898,0.00013974772274485224,5.127243531030041e-05,0.006190322693305981,0.0003033681183640973,6.317477258665677e-07,0.0001732709221287289,0.10000000000000002,0.764705717397453,0.9148165451956181,66,20,False,100,0.005000000000000002,0.0010000000000000002,8,0.21879641909639672,2.0,1,False,0.6514219726123613,0.6493438312876585,0.6478564654594405,0.644121924914449,0.644121924914449,0.644121924914449,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-200,True,200,8,42,0.5110826609478338,302,184.13,0.9225180824931271,0.6741948190169745,0.6264171282542796,0.00028321289548186414,0.2832017146608821,0.00014550017936972926,0.6973357421864513,0.0002778773921711522,0.017641101608157277,3.638859159999557e-05,0.0001264540328332308,1.0581266681715621e-06,7.655646880455264e-06,0.0001304614231989869,0.0008128332563057802,0.010096570538979423,0.5786709126479481,0.7,46,1,False,34,0.005000000000000002,1.3462131240596915,9,0.0001,2.0,1,False,0.5261106114636093,0.5180431459204538,0.5180431459204538,0.5180431459204538,0.5180431459204538,0.5180431459204538,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-600,True,600,1,42,0.6475252130691586,1003,132.3,0.8955165135147629,0.6413937748300511,0.6512075918231847,7.35561594549817e-06,1.6794515765058285e-05,5.070455476539374e-07,0.3462645338452091,0.6532012902255138,1.055154533912377e-05,3.5314639061052944e-06,1.4644526363223755e-09,2.2058329396671464e-07,1.8401016464359022e-06,2.593609185408661e-05,0.0004674375015264895,0.021269663454944302,0.6777167466900998,0.7317269890087084,19,4,False,35,0.9013671024019101,90.20836104146404,98,0.9867050083748635,1.1163587241310506,1,False,0.6633201553414342,0.6582529859687681,0.6515288142196974,0.6515288142196974,0.6515288142196974,0.6515288142196974,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-600,True,600,2,42,0.539836373990148,1003,87.18,0.9049670289694273,0.6826303295744343,0.6754275681679203,1.0254588085415833e-05,0.9894928698574834,7.666424347549286e-06,0.009898506409205154,0.0005734516860554351,5.577158514350579e-06,5.653525601214865e-09,6.499609819268673e-06,2.8493237191116496e-07,7.058731438504698e-07,3.08420567862039e-08,4.146965391301676e-06,0.029044632973459668,0.7014660121310216,1.0,58,1,True,12,0.009629160448300374,100.00000000000004,11,0.850404075943192,1.0536497162837943,1,False,0.5491656340161715,0.5448729761978236,0.5448729761978236,0.5405113783805298,0.539836373990148,0.539836373990148,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-600,True,600,3,42,0.4649712240985517,602,263.75,0.8675624648323688,0.6278523114110046,0.6479155557315399,1.5039413387336328e-05,2.3695584102775268e-05,4.1595086611348135e-06,0.13286509390518275,0.0712779925845992,0.7955512699661061,8.140554561494259e-07,0.0001790580006416567,1.4244614512753762e-05,2.77384686405621e-05,2.9328414961869926e-06,3.796105721323654e-05,0.007270102319657156,1.0,0.8590307744597652,44,2,False,19,0.005000000000000002,0.004315642558499986,8,0.6885608311114662,1.7481354272138019,1,False,0.4944549353967594,0.4649712240985517,0.4649712240985517,0.4649712240985517,0.4649712240985517,0.4649712240985517,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-600,True,600,4,42,0.5546458129772806,1003,409.34,0.9508287402678288,0.6409915176360697,0.6161594870986011,2.471524792284705e-06,5.506457152244397e-06,5.537576089660632e-07,0.0007887976890025825,0.9991089443660407,7.766039146259948e-05,4.6976512475621296e-08,7.152161309825154e-06,4.525653369952031e-06,1.7816380588675748e-07,2.813552833040906e-07,3.881503659551862e-06,0.016436557757376447,0.9323512797517343,0.7,37,3,False,25,0.1731454848537962,28.030433061426084,10,0.13132094554196974,0.8096355467935068,1,False,0.5673410529173275,0.5630864087370839,0.5630864087370839,0.5630864087370839,0.5592947154123954,0.5592947154123954,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-600,True,600,5,42,0.5596684394879012,1003,172.98,0.7880639803577782,0.6001787299277909,0.5791111805692584,2.9821704867450094e-06,0.01070483955910162,1.2837931742501788e-05,2.6247594543788934e-05,0.027391942675969026,0.9618232398264991,3.467161315793896e-06,1.0420384509726905e-07,1.3737168846117207e-05,1.7172252223472167e-06,1.0091099984115225e-06,1.787537242950341e-05,0.024323487361027768,0.8006957282244795,0.7,13,35,True,100,0.009761267314900731,20.38575348589169,28,0.13668502353747108,1.1365584240590163,1,False,0.5723871482312174,0.5632986853102783,0.5632986853102783,0.561872250363892,0.5600103619145811,0.5600103619145811,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-600,True,600,6,42,0.5811584146004156,1003,131.02,0.8235786161061284,0.5826969232348821,0.6253317280838578,7.721955244303188e-05,0.017393302421784915,2.886827995981029e-07,0.9615594548276911,0.020317368743260036,4.66116915943749e-06,7.024537813853854e-05,0.00035390929533382875,1.0510547160418486e-05,2.5846171055262725e-06,0.00021005628307442013,3.984820491826392e-07,0.014840453657788579,0.8118500464295435,0.7798709667733347,25,1,True,100,0.6421043508157795,0.015376402838063088,24,0.0001,0.05541919930671089,1,False,0.5950638457197813,0.583052573407864,0.583052573407864,0.583052573407864,0.583052573407864,0.583052573407864,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-600,True,600,7,42,0.637996326418454,602,135.53,0.9468111903053262,0.6803960768226026,0.5560810641672042,1.4207688613743961e-05,2.1017233545655046e-05,3.4015788049204396e-05,0.9964875898481154,0.0021819226549743766,0.0012240352071655515,2.2255191326920906e-05,1.024548345393089e-07,3.1663084298170802e-06,1.0834504458296423e-05,8.125720919549057e-08,7.718632774359904e-07,0.03309977381698721,1.0,1.0,62,1,False,23,0.11981270857311278,100.00000000000004,8,0.2796670160335034,2.0,1,False,0.6478346775886047,0.6478346775886047,0.6395792774374791,0.637996326418454,0.637996326418454,0.637996326418454,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-600,True,600,8,42,0.5117029814031517,1003,852.33,0.9356381376897285,0.6797033195372402,0.615715371717883,1.421135078098444e-06,1.6531189478876595e-06,1.6997446686721164e-05,0.9911102897351547,0.004454785476023653,0.004346033805260864,3.4181153404240375e-06,1.559659697095301e-05,3.424336111828848e-05,1.961589670615903e-06,4.032368067059812e-06,9.567251680599069e-06,0.00695221239264129,0.4840222791483715,0.7,26,1,False,100,0.964447429064818,0.15702085703710353,11,0.17952628300743176,1.7090021185682254,1,False,0.524602744008941,0.524602744008941,0.524602744008941,0.524602744008941,0.5235005741965104,0.5117029814031517,,,
20260327_001755,concrete_compressive_strength,regression,HDMR-200,False,200,1,42,0.2186773923244735,201,248.03,3.86495393252198,2.5864065451966276,0.9447621467118498,0.0074511174296154415,0.03243505321738184,0.024307960875997934,0.4861907476766024,0.23518638065339273,0.12805842210757445,0.0043205838087485154,0.018603152604461794,0.00881420876839345,0.014420041274577668,0.02637067999838298,0.013841651584870548,0.10000000000000002,0.7980634826614079,1.0,13,1,False,2,2.0,4.028636031810039,8,0.0001,0.0001,1,False,0.2186773923244735,0.2186773923244735,0.2186773923244735,0.2186773923244735,0.2186773923244735,0.2186773923244735,,,
