run_id,dataset,task,method,total_evals,fold,seed,best_val,n_trials,duration_sec,rmse,mae,r2,param_learning_rate,param_feature_fraction,param_bagging_fraction,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260330_110717,healthcare_insurance_expenses,regression,Optuna-200,200,3,42,0.39917509419288844,200,37.38,4237.043444974828,2567.4439623105022,0.9049103183213533,0.060620545158013774,0.9650608943906978,0.9867703772751233,18,7,True,49,0.0056301978018180425,50.128091232290316,61,0.9083165666833369,1.1711635587442968,0.4054802065331439,0.40343819253463126,0.40343819253463126,0.4020469063376885,0.4017302424984326,0.39917509419288844,,,
20260330_110717,healthcare_insurance_expenses,regression,Optuna-200,200,4,42,0.30795999392134893,200,31.76,5552.532983615349,3150.848010667325,0.7930214170170837,0.06915902571651769,0.8573611376448403,0.8282076568546114,9,14,False,28,0.07297178850849255,0.00194844033667972,31,0.18583552808505613,1.4597281923637302,0.3121540761100991,0.31007887925254113,0.3095685207140138,0.30915082104166014,0.30915082104166014,0.30795999392134893,,,
20260330_110717,healthcare_insurance_expenses,regression,Optuna-200,200,5,42,0.3529497898108708,200,30.56,4562.505579460613,2569.915438958966,0.7846232038766436,0.05520113007043181,0.8080030884049471,0.7003546603716151,6,2,False,14,0.01292463158484878,53.79200929601343,45,0.020220368792740792,0.09096404218724373,0.35745522972644345,0.35745522972644345,0.35745522972644345,0.35402397614651626,0.35402397614651626,0.3529497898108708,,,
20260330_110717,healthcare_insurance_expenses,regression,Optuna-200,200,6,42,0.38021314474492307,200,41.79,4825.901698672895,2655.432785132699,0.8769293078705438,0.08537905550864754,0.6681541384104576,0.770424581233555,97,1,True,3,0.01162401642190547,0.0010251072284493644,69,0.25756576435584944,1.3425903785092794,0.3879285034428748,0.3824673905888402,0.3824673905888402,0.3824673905888402,0.381836266059492,0.38021314474492307,,,
20260330_110717,healthcare_insurance_expenses,regression,Optuna-200,200,7,42,0.34607045915649426,200,46.15,5430.137204989443,2958.0140625889403,0.8161740165966158,0.04933553518476102,0.9999703049244034,0.9829955617217687,37,1,True,2,1.7873961799891274,0.1341039061306447,12,0.9140271145475661,0.3886168803897783,0.35716199518638725,0.35175633758235497,0.3503376573812236,0.34857598080996105,0.34607045915649426,0.34607045915649426,,,
20260330_110717,healthcare_insurance_expenses,regression,Optuna-200,200,8,42,0.41326178575511385,200,28.6,4116.116241183793,2480.4690186243606,0.8894361815087981,0.027736887693377055,0.9962489053492974,0.9876033395758445,10,2,False,3,0.01813671987110701,14.753585523878225,80,0.11973665096745854,1.0985712495416666,0.41890419994604916,0.41564372675909605,0.41539806524923756,0.41484693098194675,0.4142794574781054,0.41326178575511385,,,
20260330_110717,airfoil_self_noise,regression,Optuna-200,200,1,42,0.1952242093394207,200,1387.83,1.6921633086853118,0.9348061565367565,0.9418174565920183,0.03522619114906655,0.9602154902537492,0.7977324689123428,63,4,False,17,0.028700748264778832,0.0010649178016700752,16,0.0003717284704538681,1.1453135813853217,0.23727199689643103,0.21723118232320657,0.2129350418790778,0.1980946558506759,0.19778850470024353,0.1952242093394207,,,
20260330_110717,airfoil_self_noise,regression,Optuna-200,200,2,42,0.16711926465877935,200,424.77,1.2597857405652613,0.8072731295191937,0.9671798963347914,0.057853684799621156,0.9446446739090462,0.736777887735634,60,3,False,5,0.006982859602757689,0.10735553706389662,73,0.017880627960604828,0.9045937760382501,0.21074532369725857,0.18656178642968566,0.18179645489444765,0.16939141922616222,0.16844081962702384,0.16711926465877935,,,
20260330_110717,airfoil_self_noise,regression,Optuna-200,200,3,42,0.2178123550196741,200,249.4,1.3721815400989614,0.8650186570268438,0.964860153761905,0.08623450470746741,0.9874721581850361,0.9136397280316866,26,3,False,65,0.013315941699172525,0.0018920897110679012,9,0.07148312762595549,0.5637692878437136,0.233330019414554,0.23180793227378407,0.23180793227378407,0.22858272361627743,0.2178123550196741,0.2178123550196741,,,
20260330_110717,airfoil_self_noise,regression,Optuna-200,200,4,42,0.17758439126319095,200,613.54,0.9918610643500895,0.6842744854418836,0.9767198905752466,0.04408214725820443,0.9332415815518165,0.7822726826275479,32,1,False,8,0.0939927694136,1.8524730229371544,42,0.02341643686031785,1.298260586256437,0.2047864194526841,0.19595359211761834,0.19537140385153393,0.18388674772164113,0.17758439126319095,0.17758439126319095,,,
20260330_110717,airfoil_self_noise,regression,Optuna-200,200,5,42,0.179925373533244,200,318.82,1.733534934345086,1.206396985624199,0.9396736386361505,0.055334360595148395,0.9751809210129335,0.8236968435876627,13,5,False,10,0.04337732276882772,0.4556974598995529,15,0.08445246601941837,0.16448276295887915,0.21433028300067,0.20199061693785983,0.1884517949837138,0.1877858788701549,0.18437668711880842,0.179925373533244,,,
20260330_110717,airfoil_self_noise,regression,Optuna-200,200,6,42,0.21257031463576692,200,657.49,1.1936875659420423,0.8336440063554922,0.9668738646372914,0.013416800239030332,0.8820315240085712,0.7737618793317814,34,1,False,6,0.00801853812522113,3.5009815944181844,76,0.016838147515694846,1.0199596280673315,0.26383428383090257,0.23807942049162223,0.22142573039145713,0.21555079709085526,0.2146693088258593,0.21257031463576692,,,
20260330_110717,airfoil_self_noise,regression,Optuna-200,200,7,42,0.19846153882231524,200,738.77,1.254606423667795,0.7936518189534675,0.9695321804585049,0.025476496414303645,0.9894374696172639,0.931137051087799,40,1,False,3,0.012784111143386923,0.6482869959837616,21,0.031392384250972655,1.7584115788318424,0.23207371895320908,0.22306590275963953,0.20969535200262707,0.19947534963809488,0.19947534963809488,0.19846153882231524,,,
20260330_110717,airfoil_self_noise,regression,Optuna-200,200,8,42,0.20069274173684903,200,1167.6,1.296392012545128,0.809793599781135,0.9587807245680913,0.02301912455989808,0.9732046188123709,0.9325549482429389,25,1,False,6,0.045195190144627154,72.98510852765051,11,0.02141887108946058,1.8019261646096656,0.24702181831957476,0.21904366708020315,0.21740179540485915,0.20457719912042518,0.2013061623221655,0.20069274173684903,,,
20260330_110717,Fiat500_used,regression,Optuna-200,200,1,42,0.3504531747138501,200,200.17,825.6134201000144,602.5975940811294,0.835167008020659,0.024441957579278473,0.7014117702238505,0.9121240349418666,48,1,False,5,0.005260793109962911,8.285226774100513,9,0.05389590174651903,0.0421693017422914,0.3648430674970735,0.35987967000002824,0.35497779877449437,0.35497779877449437,0.35217854210105554,0.3504531747138501,,,
20260330_110717,Fiat500_used,regression,Optuna-200,200,2,42,0.3663644741515703,200,40.15,703.94554887011,542.0171337596013,0.8728507473714886,0.08545695309584812,0.7236019033818298,0.9994804012564801,6,1,False,3,0.18553863301789755,27.62296070071459,22,0.041441627508476186,0.38678513790726354,0.37989014583544983,0.37877264405007693,0.37615401466109405,0.368987997994506,0.368987997994506,0.3663644741515703,,,
20260330_110717,Fiat500_used,regression,Optuna-200,200,3,42,0.37391970473591213,200,173.94,731.4704927284619,544.0682984862068,0.8610800019980198,0.014915979760627484,0.5773646315769295,0.8631058087538885,101,11,False,37,0.03690334115748432,20.575573070903452,94,0.9306705260166469,0.7551922543394668,0.38069537336824016,0.3768221834665984,0.37672088229005496,0.37558658678282425,0.3746063527522312,0.37391970473591213,,,
20260330_110717,Fiat500_used,regression,Optuna-200,200,4,42,0.3772724726544437,200,222.39,749.5981415787414,555.559831273703,0.8359531220704222,0.015090843463342161,0.588046684885381,0.9822454642569826,81,1,False,55,0.006868301007113251,0.1785525282558031,20,0.08255630734072025,0.6271785271008607,0.39594272758079513,0.388121104031834,0.38408483989277403,0.37728134573536487,0.3772724726544437,0.3772724726544437,,,
20260330_110717,Fiat500_used,regression,Optuna-200,200,5,42,0.38053986893797576,200,76.54,790.4595345518134,606.1501870405189,0.7994702218265272,0.07590759863255803,0.6698764890197714,0.8766177118470679,34,1,False,2,0.012433391192162323,0.014823212806040102,10,0.8206355826444929,1.9511297343224294,0.3898653714669523,0.3807783833308312,0.3807783833308312,0.38053986893797576,0.38053986893797576,0.38053986893797576,,,
20260330_110717,Fiat500_used,regression,Optuna-200,200,6,42,0.3878168580343183,200,172.74,643.5312076448502,479.1705612559378,0.8865686395931288,0.009390339858763943,0.5484611367183889,0.7652003214588474,55,2,False,2,0.07038236344399335,0.014089971252977623,15,0.8011543892425378,0.8949402943994493,0.39418342345445684,0.38897152473114266,0.38897152473114266,0.3884802768869415,0.3878168580343183,0.3878168580343183,,,
20260330_110717,Fiat500_used,regression,Optuna-200,200,7,42,0.3594485281357864,200,41.82,721.749387555669,554.2874635929088,0.8570309008356153,0.08445206558860471,0.705299941059665,0.9926333267074463,6,2,False,5,1.0508314090210116,0.001182670024261496,12,0.18863321672201547,0.07333304586621384,0.36891201024765174,0.36529152043637986,0.36529152043637986,0.36515987664325195,0.36199030991007497,0.3594485281357864,,,
20260330_110717,Fiat500_used,regression,Optuna-200,200,8,42,0.3716419413299492,200,190.33,723.5400288473958,524.5815848029732,0.8739823882535116,0.006868555195569625,0.8713039980120554,0.8653475308063443,57,1,False,12,0.015112129762404851,0.001002501019600227,56,0.3187115929336579,1.4481114843563219,0.37681799208865674,0.37433936718728317,0.37433936718728317,0.37387580290360733,0.37331449556448915,0.3716419413299492,,,
20260330_110717,houses,regression,Optuna-200,200,1,42,0.36407027494622163,200,2133.23,0.20569909419990778,0.14473166982926153,0.8648764623926465,0.005102168016486248,0.5267615820318975,0.9737511449932368,125,39,False,27,0.03316963995562992,8.249741553962153,17,0.4266713082665558,1.447979275354096,0.3732405136269871,0.3691325768674347,0.36593313322013704,0.36457238862431796,0.36457238862431796,0.36407027494622163,,,
20260330_110717,houses,regression,Optuna-200,200,2,42,0.3810933015780265,200,2004.37,0.21502308659562386,0.14435118538341266,0.8626559916101066,0.005873982437116387,0.7414671539895001,0.9452068999519191,195,1,False,37,1.1893104605481386,0.03322980980319402,85,0.9006506221579925,0.440194622817323,0.3867067629934902,0.3867067629934902,0.3830261129326344,0.382861860860174,0.381628440546275,0.3810933015780265,,,
20260330_110717,houses,regression,Optuna-200,200,3,42,0.35728152888368425,200,3748.39,0.21459660157312158,0.14467115235275976,0.8620744185543939,0.006322017924444129,0.7551316331773891,0.8625003699945798,188,1,False,100,0.26673701145506523,59.416758003566834,38,0.2681491833811231,0.9727693095869793,0.36319499997154975,0.3620185940317693,0.3575537576578996,0.3575537576578996,0.35728152888368425,0.35728152888368425,,,
20260330_110717,houses,regression,Optuna-200,200,4,42,0.37710486729432446,200,2239.17,0.21015332199458528,0.1402476060900935,0.8585013779462872,0.00888208724847314,0.6457446897029262,0.9680438728424869,173,1,False,2,0.03765351205598356,43.21377732849831,17,0.5555135867043836,0.6656217615459573,0.38577658027622164,0.37942486698881966,0.37896225372982817,0.37810318176932817,0.37755255096621254,0.37710486729432446,,,
20260330_110717,houses,regression,Optuna-200,200,5,42,0.3929995092864647,200,1836.61,0.21611806004227366,0.14797682647536564,0.8570043217201035,0.016516323644818712,0.784378891353099,0.8760548161470166,157,5,False,2,0.45208483929329124,0.008700268730886983,25,0.5254643573925994,1.813938765032148,0.3992063035149153,0.39408625494303123,0.39408625494303123,0.39384762960803027,0.3929995092864647,0.3929995092864647,,,
20260330_110717,houses,regression,Optuna-200,200,6,42,0.35447082321662654,200,3292.86,0.21040009371543258,0.14475768072470527,0.8655280084265345,0.006815053641423523,0.6225869886550381,0.9687944599286856,97,1,False,25,1.1427532578916302,4.57800826255912,17,0.5606068277231561,0.3210710490829123,0.3640338359004308,0.35755226893561465,0.35755226893561465,0.3555824751187922,0.3549248502342876,0.35447082321662654,,,
20260330_110717,houses,regression,Optuna-200,200,7,42,0.3803667268848234,200,984.63,0.2187355740193088,0.14804323759913127,0.8536224110446157,0.03667984019943327,0.6231760270163255,0.8564847693395554,198,21,False,47,0.7647220427450635,0.02695837296513324,54,0.23476142282484885,1.2324003575886557,0.3841462644165178,0.3829838494087425,0.38168799332832,0.3804978532902103,0.3803667268848234,0.3803667268848234,,,
