run_id,dataset,task,method,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260307_180440,miami_housing,regression,RS-200,200,8,42,0.25822235565752444,200,1800.29,88067.81251170232,44732.43844140171,0.9359540652883702,0.05887071579935889,4,0.0012356519938626117,0.6848403196781874,0.6192489843815565,0.6570222940295934,1.4373576209812426,1.345940983751137,depthwise,9,0.2629464847521732,0.2619760662566737,0.26008400124693826,0.26008400124693826,0.25822235565752444,0.25822235565752444,,,
20260307_180440,houses,regression,RS-200,200,1,42,0.37641377532259745,200,1396.55,0.20342189562773066,0.14287065000688395,0.8678516812123063,0.006667492887629294,7,0.009313684798226488,0.908065140247345,0.7569627210497856,0.960224723815918,3.0745282443408857,2.695772274307255,depthwise,78,0.3789730585109132,0.3788403284870002,0.37641377532259745,0.37641377532259745,0.37641377532259745,0.37641377532259745,,,
20260307_180440,houses,regression,RS-200,200,2,42,0.39091057543960817,200,1410.99,0.21685464326173867,0.14616148452117514,0.8603062467717624,0.024468175669865085,8,0.003684531993742751,0.9662987433373929,0.8698802445083856,0.9808709722012281,0.6539983130453154,2.944551130115241,depthwise,202,0.3918066441084518,0.3918066441084518,0.3918066441084518,0.39091057543960817,0.39091057543960817,0.39091057543960817,,,
20260307_180440,houses,regression,RS-200,200,3,42,0.3692962733661095,200,1471.32,0.2179342719133807,0.14766286341090104,0.8577506773146777,0.016493892143369354,8,1.0485160517181236,0.9301041610538959,0.7841798275709152,0.8761704064905643,0.17865393747491762,0.8545698637280613,depthwise,86,0.37081137913771534,0.37081137913771534,0.37081137913771534,0.3692962733661095,0.3692962733661095,0.3692962733661095,,,
20260307_180440,houses,regression,RS-200,200,4,42,0.387116243033416,200,1393.12,0.2127859589102701,0.14324369967676084,0.8549340036319849,0.03262450973477884,7,1.7241555086927798,0.9653320647776127,0.8671596959233283,0.9638432875275612,1.9287473484572024,4.8660840614516285,lossguide,481,0.387116243033416,0.387116243033416,0.387116243033416,0.387116243033416,0.387116243033416,0.387116243033416,,,
20260307_180440,houses,regression,RS-200,200,5,42,0.39885187705367336,200,1676.14,0.22542311038333374,0.15398843493707098,0.8444257676001908,0.01634424227679088,8,0.19654582096248632,0.7668288458138705,0.8454419564455747,0.9547491379082202,0.2822497579653747,2.7867018488855106,lossguide,19,0.40199022843289905,0.40146474609488453,0.4003739613682446,0.3989553463969543,0.39885187705367336,0.39885187705367336,,,
20260307_180440,houses,regression,RS-200,200,6,42,0.35962189201919204,200,1746.73,0.216965424146788,0.1472537753761126,0.8570049386082677,0.011415664774879285,6,0.16561306858778527,0.9585896294564009,0.8840413358062506,0.9816185776144266,0.38050422901324926,1.8975774015770295,lossguide,86,0.3600512353044192,0.3600512353044192,0.3600512353044192,0.3600512353044192,0.36004792740390823,0.35962189201919204,,,
20260307_180440,houses,regression,RS-200,200,7,42,0.38933352339401445,200,1681.56,0.2210812738521734,0.14777644914806526,0.8504660981639224,0.01858666489915624,7,0.002730048951972623,0.9802841763943434,0.7760941877961158,0.924351342767477,2.7887935016748497,2.6067066021378156,depthwise,319,0.39039694754557325,0.3899399007262424,0.38933352339401445,0.38933352339401445,0.38933352339401445,0.38933352339401445,,,
20260307_180440,houses,regression,RS-200,200,8,42,0.37345021751378066,200,1544.43,0.20646103507178595,0.14344026314448013,0.862785045736388,0.006443324924615961,8,0.015112138203852689,0.8821271363645792,0.9874508768320084,0.8622987650334835,1.0613053566916846,1.2380805501908065,depthwise,66,0.37774162529301347,0.3752207080805719,0.3752207080805719,0.3740700390725441,0.3740700390725441,0.37345021751378066,,,
20260307_180440,superconductivity,regression,RS-200,200,1,42,0.2521427418785963,200,9541.16,9.285663150457841,5.332674208533742,0.9259389708019227,0.019245200990029868,7,2.028137141009334,0.9661079753190279,0.7173637621104717,0.9448609169572592,3.0548254848831338,0.32044897284638135,lossguide,44,0.25330616371240383,0.2527416214841911,0.25227910069612747,0.25227910069612747,0.2521427418785963,0.2521427418785963,,,
20260307_180440,superconductivity,regression,RS-200,200,2,42,0.2773035934542956,200,7667.93,9.36337375310872,5.158283251623636,0.9259473408835741,0.00969782760560132,9,0.003869002039778286,0.9458755709230899,0.796012569963932,0.7197285450994968,2.666685542602651,0.5628344363632612,lossguide,183,0.2777561888325497,0.2777561888325497,0.2773035934542956,0.2773035934542956,0.2773035934542956,0.2773035934542956,,,
20260307_180440,superconductivity,regression,RS-200,200,3,42,0.27040551293900705,200,8010.96,8.811130922002121,4.989469432650554,0.9322317504742297,0.036904201924688816,9,0.0061821855924245,0.7247077610343695,0.6327284771949052,0.9842466864734888,3.7041972602796744,1.1177053426489234,depthwise,259,0.2710779131708594,0.2710779131708594,0.2710779131708594,0.2710779131708594,0.27077588931311714,0.27040551293900705,,,
20260307_180440,superconductivity,regression,RS-200,200,4,42,0.27048936924989186,200,7342.55,8.7414934474312,5.1123168827049765,0.9349402685559751,0.009882161098065594,9,0.0016041641436279788,0.6813663884997367,0.937588406726718,0.8473833125084639,4.2988281956417485,4.616270857570134,lossguide,85,0.27314835669146326,0.2718949799388962,0.27153848352651594,0.2709301244967389,0.27048936924989186,0.27048936924989186,,,
20260307_180440,superconductivity,regression,RS-200,200,5,42,0.25075552941965623,200,9199.31,9.014931632366446,5.199032395042728,0.9311692708476769,0.021764902820009566,8,1.8492405680494912,0.9658087965101003,0.8697955317795276,0.6605979219079018,0.7727522880481557,3.8959381729563702,lossguide,478,0.25476701907288724,0.25262646473557554,0.25211638696745037,0.25112202506037606,0.25075552941965623,0.25075552941965623,,,
20260307_180440,superconductivity,regression,RS-200,200,6,42,0.27402613827771305,200,9720.1,9.133664841841085,5.206372587486158,0.9296179823280256,0.017856986107602186,8,0.04356342911929258,0.94014772772789,0.6470451761037112,0.6175802558660507,1.248110395695269,4.6607718244337475,lossguide,55,0.27450430504930745,0.2744417347417526,0.27439443419239967,0.27413923972946097,0.27402613827771305,0.27402613827771305,,,
20260307_180440,superconductivity,regression,RS-200,200,7,42,0.27919141437357875,200,9940.66,9.400361377901412,5.083604672372746,0.9265971392598427,0.0416342268725588,7,0.008981876657930921,0.8688331175595522,0.6307032492011785,0.8764591787010432,1.4255000076611526,2.803924266538117,lossguide,444,0.280013637177574,0.27942978563325305,0.27942978563325305,0.27919141437357875,0.27919141437357875,0.27919141437357875,,,
20260307_180440,superconductivity,regression,RS-200,200,8,42,0.274107380870349,200,9506.17,8.996671192913126,5.052791990251236,0.929395882552317,0.01048067471810761,9,0.0015162921685351193,0.7460385959595441,0.7761946480721236,0.610396508872509,1.0057959673870356,4.210520181142818,depthwise,974,0.27575486533872845,0.2742154166582503,0.2742154166582503,0.2742154166582503,0.274107380870349,0.274107380870349,,,
20260307_180440,Food_Delivery_Time,regression,RS-200,200,1,42,0.7870447642123538,200,768.22,7.399906407488524,5.8100444027673435,0.3713072476087821,0.06460638001735375,6,0.003239199717988076,0.8511702828109264,0.7515229411423207,0.9737639866769314,3.1536938621805986,4.448350767431781,depthwise,360,0.7870614988575367,0.7870614988575367,0.7870614988575367,0.7870614988575367,0.7870614988575367,0.7870447642123538,,,
20260307_180440,Food_Delivery_Time,regression,RS-200,200,2,42,0.7901201784169278,200,799.3,7.319120529323156,5.780627697464951,0.3832054904874399,0.011109908385604383,5,1.3395560569653175,0.9881955310702324,0.8565710291266442,0.9144686460494995,4.982941547720507,0.03146264298008755,lossguide,239,0.7901201784169278,0.7901201784169278,0.7901201784169278,0.7901201784169278,0.7901201784169278,0.7901201784169278,,,
