run_id,dataset,task,method,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,param_learning_rate,param_feature_fraction,param_bagging_fraction,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260330_110706,Food_Delivery_Time,regression,RS-200,200,2,42,0.7898583580998682,200,1894.11,7.3287232767159844,5.781009746393173,0.3815859496407168,0.014375429051636883,0.5965914111584425,0.9386198684573174,11,34,False,34,0.16855663011843441,5.67287013299985,14,0.4952116931345314,1.513358885098528,0.7909474880091477,0.7904017397461854,0.7903062423607821,0.7903032827118622,0.7898583580998682,0.7898583580998682,,,
20260330_110706,Food_Delivery_Time,regression,RS-200,200,3,42,0.7886865861010784,200,1848.63,7.265737693337802,5.689210152480955,0.4008337309815325,0.076676794045928,0.6570929359644652,0.8131758320145308,29,13,False,47,0.018234442853332245,0.44993360405716104,22,0.9076060212404468,1.984390817632433,0.7889604809585933,0.7889604809585933,0.7889604809585933,0.788814303154618,0.7886865861010784,0.7886865861010784,,,
20260330_110706,Food_Delivery_Time,regression,RS-200,200,4,42,0.7823519616306064,200,1770.72,7.304586930163188,5.778082317241059,0.37700621939226864,0.005664773366986135,0.49694545250386,0.8035698709078133,19,14,False,58,0.09795750608827791,0.023682664792091218,9,0.6639502706691622,0.1404421769477427,0.7832124953279577,0.7830083602646333,0.7830083602646333,0.7826130186770796,0.7826130186770796,0.7823519616306064,,,
20260330_110706,Food_Delivery_Time,regression,RS-200,200,5,42,0.777746067049328,200,1726.52,7.420134331115817,5.844463226563714,0.3763278056799336,0.022589596945562746,0.44826178029179575,0.9361900961026549,19,39,False,26,0.20329106701324956,0.44315975172070127,21,0.8746962684498168,1.4962019369052724,0.7780561654570997,0.7777859235415804,0.777746067049328,0.777746067049328,0.777746067049328,0.777746067049328,,,
20260330_110706,Food_Delivery_Time,regression,RS-200,200,6,42,0.7778901812374416,200,1886.79,7.44443519375032,5.8593249348695,0.3825137019963015,0.01143668903517896,0.7719659611582756,0.8209044591523706,14,3,False,35,0.023017338073059827,13.0348822007277,10,0.0804596317649819,1.3314038131193258,0.7781994065494418,0.7780439239078983,0.7780439239078983,0.7778901812374416,0.7778901812374416,0.7778901812374416,,,
20260330_110706,Food_Delivery_Time,regression,RS-200,200,7,42,0.7948674096649214,200,1908.86,7.435147527613593,5.87439041087974,0.38507665201172947,0.00682077180765551,0.7915429493412376,0.988370256870985,19,4,False,8,0.031213063661140038,2.153933570139262,36,0.9129087033607066,1.6012732661784626,0.7948674096649214,0.7948674096649214,0.7948674096649214,0.7948674096649214,0.7948674096649214,0.7948674096649214,,,
20260330_110706,Food_Delivery_Time,regression,RS-200,200,8,42,0.7831624585083531,200,1709.07,7.368329459890143,5.7947753638171795,0.3858690152140366,0.040443152059659544,0.8228043401613832,0.9335307708010078,16,8,False,8,1.515389957119255,0.024753611460976644,11,0.46995794635638594,1.792527326532919,0.7836628317753278,0.7832590072998854,0.7831624585083531,0.7831624585083531,0.7831624585083531,0.7831624585083531,,,
20260330_110706,diamonds,regression,RS-200,200,1,42,0.13173482736477551,200,2337.65,503.2695909867802,263.9646301471478,0.9838216847706759,0.03501445004675614,0.830207933858037,0.9980768027715385,20,1,False,85,1.2265997360589533,0.03469607163306626,22,0.93992881731987,1.5996988826218992,0.13323553065512098,0.13265698593463263,0.13265698593463263,0.13204168019791965,0.13173482736477551,0.13173482736477551,,,
20260330_110706,diamonds,regression,RS-200,200,2,42,0.13294512114512327,200,2067.37,509.0865100883872,268.12051360014095,0.9835099051710988,0.021591968255869714,0.8657116170972585,0.8891861628741026,60,2,False,61,0.01535009218487655,0.0021299552858278135,45,0.2763807110489346,0.2790600069632754,0.1331643537107121,0.1331643537107121,0.13294512114512327,0.13294512114512327,0.13294512114512327,0.13294512114512327,,,
20260330_110706,diamonds,regression,RS-200,200,3,42,0.138071983054576,200,2124.66,531.9967814706192,284.0717579968032,0.9822819130133125,0.01437511585676991,0.6480192720890046,0.9285538165830076,10,2,False,4,0.040225670147628526,4.021171020605588,70,0.35465048701167107,1.6422017534334212,0.14027733225453068,0.14027733225453068,0.14021983222442658,0.138071983054576,0.138071983054576,0.138071983054576,,,
20260330_110706,diamonds,regression,RS-200,200,4,42,0.13511444645851153,200,2102.1,506.60453041768733,254.94722438087112,0.9839510248752641,0.034977844697244555,0.8104632819071412,0.9995312247425318,168,3,False,3,0.016743455241315326,94.95174458462361,66,0.5721213507604785,0.5882761768395081,0.13601129729484926,0.13564476767176217,0.13564476767176217,0.1352473790639547,0.13511444645851153,0.13511444645851153,,,
20260330_110706,diamonds,regression,RS-200,200,5,42,0.13087691531095585,200,2253.05,541.9447112618999,283.3118514547086,0.9819233537964321,0.008671277563585551,0.8573053359985352,0.7532793819904327,55,4,False,4,0.039800111100035576,0.011528415150043795,32,0.2558798205913976,0.15608705512471496,0.13177307568415453,0.131058348058172,0.131058348058172,0.131058348058172,0.13087691531095585,0.13087691531095585,,,
20260330_110706,diamonds,regression,RS-200,200,6,42,0.1256876503213079,200,2241.75,556.4377716628668,280.6259622582975,0.9806252149682462,0.006239018995013064,0.7498978897929192,0.9974217768758535,31,11,False,84,0.006637439024992084,0.0015916349415331418,55,0.18209155652066691,0.16669073511213064,0.1256876503213079,0.1256876503213079,0.1256876503213079,0.1256876503213079,0.1256876503213079,0.1256876503213079,,,
