run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_max_depth,sens_min_child_weight,sens_subsample,sens_colsample_bylevel,sens_colsample_bynode,sens_reg_alpha,sens_reg_lambda,sens_grow_policy,sens_max_leaves,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200
20260310_003731,physiochemical_protein,regression,HDMR-200,False,200,7,42,0.5421034497035533,201,3766.8,3.3924268413464262,2.2694938869551033,0.6981208875175029,0.12964067006912874,0.42220775616406714,0.03439690976033253,0.05846567676968295,0.003161583357358485,0.005444721255874215,0.006539242379589604,0.011921058857415304,0.03097504517814172,0.2972473362084092,0.04569961454898662,10,0.38966841326296636,0.9061559470542943,0.7567155873517857,0.918375608357618,1.26714450892188,4.504906144554086,lossguide,162,0.5485724978445621,0.5485724978445621,0.546776825207733,0.5436701480327505,0.5436701480327505,0.5421034497035533
20260310_003731,physiochemical_protein,regression,HDMR-200,False,200,8,42,0.5636218911137115,201,3724.91,3.292797003264863,2.242929655623994,0.7084691287225879,0.17516950124908454,0.3575615388338509,0.04449720414046034,0.06530787754292716,0.0021784971908728372,0.017423104191559388,0.021602527726614393,0.01289448725846923,0.021686564000290898,0.28167869786587024,0.031272242605882,10,1.0329855517425608,0.70989672861378,0.9226074520224008,0.8998919173536573,3.6334816480767405,2.5000500000000003,depthwise,1024,0.5771437321840365,0.5648878755536321,0.5648878755536321,0.5636218911137115,0.5636218911137115,0.5636218911137115
20260310_003731,physiochemical_protein,regression,A-HDMR-200,True,200,1,42,0.5562132173663701,202,4176.2,3.3637067750269045,2.2961518606752263,0.6973978428387213,0.13080131203056708,0.30493885930202735,0.03105627678361748,0.013321665419747157,0.0037983462548725976,0.03425105927851359,0.024599547297175724,0.05138305656487726,0.027842323162006345,0.37800755390659546,0.020263587676917993,9,0.001254648093992654,0.6224234342575073,0.8958319672717452,0.8613280597201651,3.7808908554756986,4.9999999827676636,lossguide,276,0.5658633347634786,0.5658633347634786,0.5658633347634786,0.5574839475899097,0.5562132173663701,0.5562132173663701
20260310_003731,physiochemical_protein,regression,A-HDMR-200,True,200,2,42,0.5697020697442277,202,3445.27,3.470181227506358,2.3431345528045835,0.681437877185499,0.36846548427831294,0.13945403046062965,0.008794586911250542,0.009819555720832679,0.018573228217688555,0.019928086797630938,0.014441677835811129,0.0024700008829477197,0.021090522904222128,0.3969628259906737,0.0497527959099124,8,0.0017404635002485431,0.8808581722985946,0.9944047774320344,0.6108332127336471,1.646906677777377,4.894953451202541,lossguide,126,0.5727064067109374,0.5727064067109374,0.5727064067109374,0.5706541078118177,0.5697020697442277,0.5697020697442277
20260310_003731,physiochemical_protein,regression,A-HDMR-200,True,200,3,42,0.5575045045672402,202,3936.71,3.284482514799298,2.2172155776944837,0.7044358943840568,0.025061275196095054,0.5544784436560776,0.031304793611715655,0.01606668241694143,0.00285206790631442,0.03490554873665184,0.022655457563934108,0.02027018076201694,0.06705246168003981,0.22535308847021324,0.086089165323586,10,0.001177651823072472,0.8055544690541651,0.8366036747689414,0.860022112729969,2.667591600936666,3.9108568706218048,lossguide,991,0.5851740301423207,0.5650480402895482,0.5648712973999847,0.5583084271127188,0.5583081732980171,0.5575045045672402
20260310_003731,physiochemical_protein,regression,A-HDMR-200,True,200,4,42,0.5523997554441128,202,4351.27,3.419508737515961,2.299850702402692,0.6841798913360848,0.10405674678543757,0.47349262359054717,0.02070408931630247,0.02934994633488551,0.09288128870528184,0.030356373143487252,0.02316295888434366,0.06910449921833688,0.0153114764210022,0.14157999760037546,0.0316038463185579,8,0.05812959349223229,0.8088869241766314,0.911980679598014,0.7628034320612012,2.5000500000000003,2.5000500000000003,depthwise,219,0.5633660825828735,0.5593008652817262,0.5585495585080323,0.5539508753981466,0.5526319224511188,0.5523997554441128
20260310_003731,physiochemical_protein,regression,A-HDMR-200,True,200,5,42,0.5569202698143225,202,3734.44,3.472397009604679,2.3232723326698728,0.6823832379850847,0.04978696564126989,0.21516091408083055,0.008835158156616228,0.0031046966926748278,0.019061842744358043,0.016192601955101752,0.003914623476792248,0.009389505704381997,0.12534744475509563,0.5492062467928788,0.04717583064601065,10,0.025087530161632034,0.9655241683629283,0.8715308221336244,0.839569029460435,2.005722357685251,3.276555084526266,lossguide,164,0.5682682529901475,0.5610248304902069,0.5610248304902069,0.5583198928188426,0.5570473733778963,0.5569202698143225
20260310_003731,physiochemical_protein,regression,A-HDMR-200,True,200,6,42,0.555723274255955,202,3785.72,3.4740113426181356,2.3596567469530636,0.6772789498258084,0.11802288922833366,0.23823072644520357,0.05967910067358433,0.008383051762294319,0.01628869519325222,0.06423491187206427,0.003341894599517338,0.07879084777999971,0.07421204737721147,0.3388158350685391,0.03140780214318369,10,0.008726131284119844,0.759932714499306,0.8864392975055366,0.7242669461319909,3.397655511838337,3.375712864025527,depthwise,1024,0.5641517979091357,0.5581582817374745,0.5581582817374745,0.5561731745418746,0.555723274255955,0.555723274255955
20260310_003731,physiochemical_protein,regression,A-HDMR-200,True,200,7,42,0.5436701480327505,202,3802.27,3.4120670593776747,2.3128629557150617,0.694615353249809,0.1580860842615482,0.2254340249556267,0.019223220943259654,0.08390764918070544,0.024440807072718413,0.019833094228161555,0.02580142840482396,0.015185186463054395,0.03898177838813846,0.3891067261019631,0.03513701230291473,10,0.40957405588044293,0.9432621209234018,0.6923552613283193,0.9999999974442353,2.3683577070309765,2.5000500000000003,lossguide,59,0.5485724978445621,0.5485724978445621,0.546776825207733,0.5436701480327505,0.5436701480327505,0.5436701480327505
20260310_003731,physiochemical_protein,regression,A-HDMR-200,True,200,8,42,0.5636218911137115,202,3801.18,3.3129671301268013,2.256696874389125,0.7048866276648756,0.1697888789998173,0.32298104355105256,0.05934971836739007,0.056089198505775505,0.006335361284575684,0.01611174904453652,0.001167017296601885,0.01529902607221509,0.06400559500715298,0.2888724118708824,0.01802238504353288,10,0.0010204296686069866,0.6766287272772462,0.9567189370553502,0.950907245270624,3.3748093026901604,0.10135219763691589,depthwise,270,0.5771437321840365,0.5648878755536321,0.5648878755536321,0.5636218911137115,0.5636218911137115,0.5636218911137115
20260310_003731,physiochemical_protein,regression,A-HDMR-600,True,600,1,42,0.5571540648108648,603,14505.44,3.329038123368295,2.2095138984575065,0.7036033457363802,0.04858051729522382,0.37227209852304854,0.02609978971678751,0.017562807719069047,0.0033344017659770156,0.022715760848012082,0.0038043408818748342,0.047652712687450555,0.04267972824533562,0.415297842317221,0.022445632672308,10,0.007883302214931833,0.889311861145565,0.9112326703425342,0.856436184394213,1.2002469224244179,0.45747147311951286,lossguide,192,0.5658633347634786,0.5658633347634786,0.5658633347634786,0.5574839475899097,0.5571540648108648,0.5571540648108648
20260310_003731,physiochemical_protein,regression,A-HDMR-600,True,600,2,42,0.5657169044452872,603,13555.1,3.4432910029430266,2.2942236895037444,0.6863557860497547,0.01516664138840683,0.4181492845658121,0.019256724885516833,0.007431516197106657,0.0075119011128213335,0.007262562394320621,0.017532575019634938,0.0150610615546801,0.034475851306952056,0.45815188157474857,0.022036424489642152,9,0.014685703866108221,0.9987917020932526,0.9039261253589218,0.6991860741099902,1.3222681557912088,4.07493782152966,lossguide,180,0.5727064067109374,0.5727064067109374,0.5727064067109374,0.5706541078118177,0.5700509348568019,0.5700509348568019
20260310_003731,physiochemical_protein,regression,A-HDMR-600,True,600,3,42,0.5580905147730807,603,14364.96,3.2718530326686883,2.198141954555743,0.7067045287010014,0.18690612268155463,0.24633428171179866,0.007032455052490301,0.04377168451907965,0.0422294594361311,0.008082494523620863,0.03025485876204885,0.010066570474960125,0.048297152230009674,0.37702492060830606,0.025090950873587748,10,0.46112753513834603,0.8804815238192116,0.8628176285125783,0.8858242465473458,1.3737648060549956,4.874125470891149,lossguide,182,0.5851740301423207,0.5650480402895482,0.5648712973999847,0.5583084271127188,0.5583084271127188,0.5583084271127188
20260310_003731,physiochemical_protein,regression,A-HDMR-600,True,600,4,42,0.5504375069605777,603,14783.35,3.3944611723860865,2.2779020500173695,0.6887896487242287,0.14894734279622432,0.3616560893564778,0.0210856965440284,0.07289414793688247,0.02612059840695926,0.01924145434967657,0.019878703866923808,0.01869559991503725,0.009719551006308034,0.30176081582148206,0.02892381323439153,9,0.007548215772431936,0.8763938210089813,0.7254971290923612,0.9451755838832048,3.795551447882357,1.5758825383130752,lossguide,803,0.5633660825828735,0.5593008652817262,0.5585495585080323,0.5539508753981466,0.5539508753981466,0.5504375069605777
