run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_max_depth,sens_min_child_weight,sens_subsample,sens_colsample_bylevel,sens_colsample_bynode,sens_reg_alpha,sens_reg_lambda,sens_grow_policy,sens_max_leaves,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260323_114520,physiochemical_protein,regression,A-HDMR-200,True,200,3,42,0.5571884868684186,402,6305.65,3.2617771488942062,2.170221718604599,0.7085081920494243,0.08099385246518113,0.9141116885821543,3.386177227326942e-05,9.874187335862448e-05,6.284285402266653e-05,9.957246848347775e-08,1.4679928661515167e-05,2.443792674728544e-05,9.896315519119752e-05,0.004560831869941496,0.032334121500929874,10,4.9999999999999964,0.9583436301178359,0.6385365227303486,0.8246172997736922,0.680556117185416,3.117495298286727,lossguide,574,0.5591359989616639,0.5591359989616639,0.5591359989616639,0.5571884868684186,0.5571884868684186,0.5571884868684186,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-200,True,200,4,42,0.5523698602904994,402,8055.52,3.376515280258892,2.212857707204249,0.6920715740814276,0.4255166855261339,0.5180126276235735,1.4255305472478164e-05,4.698719417532747e-07,4.201727992081177e-05,0.0002894041297976097,0.00031905236076274,3.6194611211421886e-06,0.0012079940144725872,0.05459387442680352,0.020502840761220192,10,0.002469736932938466,1.0,0.776294524901385,0.9548258948683224,0.0001,2.2994018990712517,lossguide,942,0.5629384100055339,0.5559176145412295,0.5523698602904994,0.5523698602904994,0.5523698602904994,0.5523698602904994,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-200,True,200,5,42,0.555491901879597,302,5509.34,3.427768376550006,2.268562353971175,0.6904950476528928,0.26985815572700417,0.6937397651895678,3.3066643252680234e-08,4.451062911243407e-05,1.0743494962387283e-05,4.194434285745164e-05,0.000158521535132538,0.00034662705241085247,3.329123548498607e-05,0.03576640772682413,0.020093554583049397,10,1.6259768498507972,0.8159141919973988,1.0,0.6528742072172979,0.5043339885531648,3.843638989754537,lossguide,255,0.5605707833435467,0.5605707833435467,0.5588433163433654,0.5583065683730847,0.5583065683730847,0.5583065683730847,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-200,True,200,6,42,0.5512640339562981,302,7304.49,3.4486553468403955,2.2875679740072146,0.6819726886745943,0.186933206561114,0.7838606740143385,4.356308805757071e-05,9.347120772310408e-05,0.0001208832803099727,5.230028483206168e-05,8.27569766519117e-06,0.00026552654847439245,0.0002512939493521507,0.028370805368133026,0.023612766245196527,10,0.2750653112532713,0.8932184747610096,0.874972474503201,0.830274653711447,0.0001,5.0,lossguide,1024,0.5631987580018261,0.556517323786274,0.556517323786274,0.5554715562667332,0.5523216974174667,0.5523216974174667,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-200,True,200,7,42,0.5469277526354795,302,4741.42,3.4061968913309397,2.2731274195640103,0.695665225427659,0.00015190346505552862,0.9869291016616395,6.207259833620636e-05,6.40749340219179e-05,0.0002654150350719969,1.6208129826713357e-07,0.003483356023066384,3.4040865537997198e-06,0.00023392285560654773,0.008806587259349817,0.058208187003926076,10,0.0025392966385043565,0.9348407504199294,1.0,1.0,2.749941726182135,4.224352784652318,lossguide,1024,0.5477770707212277,0.5477770707212277,0.5469277526354795,0.5469277526354795,0.5469277526354795,0.5469277526354795,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-200,True,200,8,42,0.5589184437067123,402,6639.99,3.282911381344888,2.163884266244356,0.710216966720663,6.3740269012613575e-06,0.9789320841519481,1.0414585097901998e-05,0.004054642924133986,4.3236446820309604e-05,2.9775282540636496e-07,5.2998860752667276e-06,3.209447509437412e-05,2.917014972443304e-07,0.01691526404960607,0.025196525387967253,10,2.1233783810749833,0.9313911903862314,0.7244514943252695,0.9455120143450211,0.0001,0.6602978515636946,lossguide,463,0.5708669330424703,0.5698842322218137,0.56534482824459,0.562002610890926,0.562002610890926,0.562002610890926,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-600,True,600,1,42,0.5553261434145659,1003,22974.32,3.3272616428595296,2.178211546462796,0.7039195946765548,0.0020568056216586066,0.9907057919951447,1.6783710862594302e-07,4.287365153369088e-07,1.9176920509267583e-06,5.276780570729193e-07,1.7354944267865998e-08,4.226713702214754e-07,1.1453544953634024e-06,0.007232775058655082,0.016164980511213595,10,1.7075223187414748,0.9592397954073297,0.91269480084326,0.9476261458087921,0.6866114447598379,0.0001,lossguide,408,0.5599925839325774,0.5599925839325774,0.5595727430406232,0.5563148004053802,0.5563148004053802,0.5563148004053802,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-600,True,600,2,42,0.5653130573070263,602,11854.25,3.4060909288043217,2.2685065086806633,0.6930961758662302,0.04209933895678703,0.9143159305222817,5.957691077327476e-06,8.49974263150133e-06,1.4873688795611668e-05,7.340074781443992e-07,3.3902565809456767e-06,3.4223604452256454e-06,6.216616244678855e-07,0.04354723111229807,0.01874278925791178,10,0.15346293667957497,0.9549456156888307,0.7611708451913706,0.6789892501616934,1.5617392450956475,0.4586311669650773,lossguide,1024,0.568719206507808,0.5669243089985345,0.5669243089985345,0.5669243089985345,0.5669243089985345,0.5669243089985345,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-600,True,600,3,42,0.5591637134227833,602,16621.82,3.2746843643592456,2.2106476061772895,0.7061966965587041,0.018811072679115595,0.9445577927407364,4.9424674938888124e-05,0.00014436685164242178,2.0523513809941273e-05,2.5654743552043126e-05,3.854153203095893e-06,4.235369388090268e-05,0.0002818558958722667,0.03606310105324845,0.010723304663946864,10,0.15919517138919181,0.95282318503517,0.9370418297113443,0.9513093616380617,3.896887600001625,2.4782992753704765,lossguide,296,0.5611613756058692,0.5611613756058692,0.5591637134227833,0.5591637134227833,0.5591637134227833,0.5591637134227833,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-600,True,600,4,42,0.5495797258399945,602,14912.59,3.351689666080437,2.216733468892909,0.6965829763815203,0.07203242029333946,0.47514366211171094,8.139633870389414e-06,9.756049762969679e-05,8.901269276735189e-05,0.00016480118883110815,5.7007641691635116e-05,2.8413521419244746e-06,1.2751543476603287e-05,0.4523918030445409,0.015327775608516352,10,0.0010000000000000002,0.8519654364143268,0.9526632814527072,0.9443840095243659,2.0089299967685434,0.0001,lossguide,444,0.5508169133587357,0.5508169133587357,0.5508169133587357,0.5508169133587357,0.5508169133587357,0.5508169133587357,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-600,True,600,5,42,0.5531764631139259,602,11993.77,3.4353832678151788,2.2553304210274976,0.6891183709338341,0.21252887442469623,0.7482193078554225,1.001305307233707e-05,4.380769757396652e-06,2.6011069724110587e-07,0.00024209980250787907,2.8966894669173324e-05,2.1451877778499638e-05,2.5996672789063755e-05,0.03891864853860966,0.018304556749506387,10,2.1159584745908453,0.7788201970711527,1.0,0.9555683709261974,0.0001,4.0233021061976455,lossguide,521,0.5668913477938626,0.5624000482806735,0.5531764631139259,0.5531764631139259,0.5531764631139259,0.5531764631139259,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-600,True,600,6,42,0.5536076054826029,1003,19190.87,3.445264537714266,2.3021829258788618,0.6825977669502089,0.006486047976468671,0.9934439027358164,3.9339088836175665e-07,2.390981727942277e-06,8.07950747479293e-06,2.1240642860366244e-06,2.523829462291788e-06,1.5456198909041303e-07,3.130151647047381e-08,5.435165036992663e-05,0.038105280234049854,10,0.08493079211931569,0.964150879220385,0.8429720499695574,0.957586546545749,1.7342988942661577,4.960402134214261,lossguide,522,0.5585112520215127,0.5585112520215127,0.5558323398896334,0.5558323398896334,0.5558323398896334,0.5554331637079349,,,
20260323_114520,physiochemical_protein,regression,A-HDMR-600,True,600,7,42,0.5410475645100441,602,15428.36,3.3653937868927293,2.2553867459138366,0.7029128550008505,0.14796879899096765,0.769205215298568,8.683196660610044e-06,3.287136445828241e-05,6.696364577341855e-05,4.248008419424524e-05,4.748096673033075e-05,3.157764893167906e-05,2.61179801438214e-05,0.08256981082357197,0.015299340110470848,10,0.005949758393086052,0.7073337748252639,1.0,0.6,2.1015375617693053,0.5515968920237845,lossguide,1024,0.5456252108391919,0.5456252108391919,0.5446620255625032,0.5446620255625032,0.5446620255625032,0.5446620255625032,,,
