dataset_name,task,method,metric_name,mean,std,n_folds,eff_dim_mean,runtime_min_total
credit-g,classification,HDMR-200,AUC,0.7744829314135122,0.03801854632252261,8,8.125,10.0395
credit-g,classification,Optuna-200,AUC,0.7723342155057219,0.030721433792138868,8,,7.725
credit-g,classification,RS-200,AUC,0.7779876529309379,0.029520954333461417,8,,10.786
diamonds,regression,A-HDMR-200,RMSE,527.0290538761342,17.489170685900717,8,2.625,417.90883333333335
diamonds,regression,A-HDMR-600,RMSE,529.3844165358973,17.83677683494798,8,3.0,648.9613333333333
diamonds,regression,HDMR-200,RMSE,530.6115356440351,20.688445657914674,8,8.25,180.59633333333335
diamonds,regression,Optuna-200,RMSE,527.8092894544862,16.25270214798217,8,,195.54266666666666
diamonds,regression,RS-200,RMSE,528.7086559408606,17.383846236814104,8,,163.95866666666666
hazelnut-contaminant-detection,classification,A-HDMR-200,AUC,0.9767388888888888,0.003906414026538564,8,2.625,157.0965
hazelnut-contaminant-detection,classification,A-HDMR-600,AUC,0.9774055555555555,0.00441500967220274,8,2.5,423.997
hazelnut-contaminant-detection,classification,HDMR-200,AUC,0.9765611111111111,0.004241123108382834,8,7.0,114.86866666666667
hazelnut-contaminant-detection,classification,Optuna-200,AUC,0.9777944444444444,0.002909468820651302,8,,54.92183333333333
hazelnut-contaminant-detection,classification,RS-200,AUC,0.9791888888888889,0.0036633462599249913,8,,102.7065
healthcare_insurance_expenses,regression,A-HDMR-200,RMSE,4471.7983792218465,643.8662342567554,8,2.125,17.718333333333334
healthcare_insurance_expenses,regression,A-HDMR-600,RMSE,4496.825392693227,676.4952677800076,8,3.0,32.80283333333333
healthcare_insurance_expenses,regression,HDMR-200,RMSE,4485.102653936832,656.87919425626,8,8.375,10.077666666666667
healthcare_insurance_expenses,regression,Optuna-200,RMSE,4460.672624053342,655.6740555973181,8,,7.556333333333334
healthcare_insurance_expenses,regression,RS-200,RMSE,4511.730048779841,641.4633990078132,8,,8.443833333333334
houses,regression,A-HDMR-200,RMSE,0.215138899849493,0.006361744349924228,8,3.125,401.36266666666666
houses,regression,A-HDMR-600,RMSE,0.21527416830056378,0.0065044965051112985,8,2.875,743.8496666666666
houses,regression,HDMR-200,RMSE,0.21552103420587704,0.006395166064798916,8,7.75,220.54516666666666
houses,regression,Optuna-200,RMSE,0.21402716105233824,0.0065708609310829655,8,,385.91283333333337
houses,regression,RS-200,RMSE,0.21511595164590014,0.0073026072610989125,8,,205.34733333333332
physiochemical_protein,regression,A-HDMR-200,RMSE,3.3698639649060746,0.0723524937845195,8,2.5,892.1988333333334
physiochemical_protein,regression,A-HDMR-600,RMSE,3.35991242693239,0.06655025263130998,8,2.5,2117.6446666666666
physiochemical_protein,regression,HDMR-200,RMSE,3.3965760767991626,0.064298256522936,8,5.0,564.1926666666667
physiochemical_protein,regression,Optuna-200,RMSE,3.3409071807010027,0.07278520996104292,8,,1921.7873333333332
physiochemical_protein,regression,RS-200,RMSE,3.358825651101321,0.07653986596026131,8,,671.1711666666666
qsar-biodeg,classification,A-HDMR-200,AUC,0.933803049763571,0.014069091590181618,8,2.625,52.897999999999996
qsar-biodeg,classification,A-HDMR-600,AUC,0.9341083493635414,0.012333423310204547,8,2.625,121.8955
qsar-biodeg,classification,HDMR-200,AUC,0.931730683599316,0.016680320537972842,8,8.5,30.2065
qsar-biodeg,classification,Optuna-200,AUC,0.9305373813896541,0.013694617580708305,8,,26.222666666666665
qsar-biodeg,classification,RS-200,AUC,0.9333502623544747,0.012565098181224393,8,,29.3115
seismic-bumps,classification,A-HDMR-200,AUC,0.7735074169118524,0.03619567059708273,8,3.125,9.494833333333334
seismic-bumps,classification,A-HDMR-600,AUC,0.7668556064039662,0.041288970048494945,8,2.625,17.616833333333332
seismic-bumps,classification,HDMR-200,AUC,0.7673470822390813,0.0408971303944773,8,8.75,6.1946666666666665
seismic-bumps,classification,Optuna-200,AUC,0.7619947689253095,0.044866305239897486,8,,4.4045000000000005
seismic-bumps,classification,RS-200,AUC,0.7694380995050948,0.04539103062348975,8,,4.938666666666666
website_phishing,classification,A-HDMR-200,AUC,0.9781744859508857,0.0028983064273712202,8,8.5,40.3015
website_phishing,classification,A-HDMR-600,AUC,0.9778254887299855,0.003795122435198843,8,7.75,116.40366666666667
website_phishing,classification,HDMR-200,AUC,0.9788031768578194,0.0033815397762458235,8,7.0,50.428
website_phishing,classification,Optuna-200,AUC,0.9770165948936177,0.004497228167748941,8,,23.594166666666666
website_phishing,classification,RS-200,AUC,0.9777375552481375,0.0029906467660250845,8,,50.931333333333335
